fecha_hora_original,fecha_hora_bolivia,fecha,hora,hz,estado_rango
2026-06-18T08:56:39Z,2026-06-18T08:56:39-04:00,18/06/2026,08:56:39,50.06,Normal
2026-06-18T08:56:40Z,2026-06-18T08:56:40-04:00,18/06/2026,08:56:40,50.062,Normal
2026-06-18T08:56:41Z,2026-06-18T08:56:41-04:00,18/06/2026,08:56:41,50.063,Normal
2026-06-18T08:56:42Z,2026-06-18T08:56:42-04:00,18/06/2026,08:56:42,50.063,Normal
2026-06-18T08:56:44Z,2026-06-18T08:56:44-04:00,18/06/2026,08:56:44,50.061,Normal
2026-06-18T08:56:45Z,2026-06-18T08:56:45-04:00,18/06/2026,08:56:45,50.059,Normal
2026-06-18T08:56:46Z,2026-06-18T08:56:46-04:00,18/06/2026,08:56:46,50.059,Normal
2026-06-18T08:56:47Z,2026-06-18T08:56:47-04:00,18/06/2026,08:56:47,50.06,Normal
2026-06-18T08:56:48Z,2026-06-18T08:56:48-04:00,18/06/2026,08:56:48,50.063,Normal
2026-06-18T08:56:49Z,2026-06-18T08:56:49-04:00,18/06/2026,08:56:49,50.065,Normal
2026-06-18T08:56:50Z,2026-06-18T08:56:50-04:00,18/06/2026,08:56:50,50.066,Normal
2026-06-18T08:56:51Z,2026-06-18T08:56:51-04:00,18/06/2026,08:56:51,50.064,Normal
2026-06-18T08:56:52Z,2026-06-18T08:56:52-04:00,18/06/2026,08:56:52,50.061,Normal
2026-06-18T08:56:53Z,2026-06-18T08:56:53-04:00,18/06/2026,08:56:53,50.059,Normal
2026-06-18T08:56:54Z,2026-06-18T08:56:54-04:00,18/06/2026,08:56:54,50.058,Normal
2026-06-18T08:56:55Z,2026-06-18T08:56:55-04:00,18/06/2026,08:56:55,50.057,Normal
2026-06-18T08:56:56Z,2026-06-18T08:56:56-04:00,18/06/2026,08:56:56,50.055,Normal
2026-06-18T08:56:57Z,2026-06-18T08:56:57-04:00,18/06/2026,08:56:57,50.054,Normal
2026-06-18T08:56:58Z,2026-06-18T08:56:58-04:00,18/06/2026,08:56:58,50.07,Normal
2026-06-18T08:56:59Z,2026-06-18T08:56:59-04:00,18/06/2026,08:56:59,50.094,Normal
2026-06-18T08:57:00Z,2026-06-18T08:57:00-04:00,18/06/2026,08:57:00,50.112,Normal
2026-06-18T08:57:01Z,2026-06-18T08:57:01-04:00,18/06/2026,08:57:01,50.123,Normal
2026-06-18T08:57:02Z,2026-06-18T08:57:02-04:00,18/06/2026,08:57:02,50.124,Normal
2026-06-18T08:57:03Z,2026-06-18T08:57:03-04:00,18/06/2026,08:57:03,50.123,Normal
2026-06-18T08:57:04Z,2026-06-18T08:57:04-04:00,18/06/2026,08:57:04,50.122,Normal
2026-06-18T08:57:05Z,2026-06-18T08:57:05-04:00,18/06/2026,08:57:05,50.12,Normal
2026-06-18T08:57:06Z,2026-06-18T08:57:06-04:00,18/06/2026,08:57:06,50.119,Normal
2026-06-18T08:57:07Z,2026-06-18T08:57:07-04:00,18/06/2026,08:57:07,50.117,Normal
2026-06-18T08:57:08Z,2026-06-18T08:57:08-04:00,18/06/2026,08:57:08,50.113,Normal
2026-06-18T08:57:09Z,2026-06-18T08:57:09-04:00,18/06/2026,08:57:09,50.108,Normal
2026-06-18T08:57:10Z,2026-06-18T08:57:10-04:00,18/06/2026,08:57:10,50.103,Normal
2026-06-18T08:57:11Z,2026-06-18T08:57:11-04:00,18/06/2026,08:57:11,50.096,Normal
2026-06-18T08:57:12Z,2026-06-18T08:57:12-04:00,18/06/2026,08:57:12,50.088,Normal
2026-06-18T08:57:13Z,2026-06-18T08:57:13-04:00,18/06/2026,08:57:13,50.081,Normal
2026-06-18T08:57:14Z,2026-06-18T08:57:14-04:00,18/06/2026,08:57:14,50.075,Normal
2026-06-18T08:57:15Z,2026-06-18T08:57:15-04:00,18/06/2026,08:57:15,50.072,Normal
2026-06-18T08:57:16Z,2026-06-18T08:57:16-04:00,18/06/2026,08:57:16,50.071,Normal
2026-06-18T08:57:17Z,2026-06-18T08:57:17-04:00,18/06/2026,08:57:17,50.072,Normal
2026-06-18T08:57:18Z,2026-06-18T08:57:18-04:00,18/06/2026,08:57:18,50.073,Normal
2026-06-18T08:57:19Z,2026-06-18T08:57:19-04:00,18/06/2026,08:57:19,50.072,Normal
2026-06-18T08:57:20Z,2026-06-18T08:57:20-04:00,18/06/2026,08:57:20,50.07,Normal
2026-06-18T08:57:21Z,2026-06-18T08:57:21-04:00,18/06/2026,08:57:21,50.067,Normal
2026-06-18T08:57:22Z,2026-06-18T08:57:22-04:00,18/06/2026,08:57:22,50.063,Normal
2026-06-18T08:57:23Z,2026-06-18T08:57:23-04:00,18/06/2026,08:57:23,50.058,Normal
2026-06-18T08:57:24Z,2026-06-18T08:57:24-04:00,18/06/2026,08:57:24,50.051,Normal
2026-06-18T08:57:25Z,2026-06-18T08:57:25-04:00,18/06/2026,08:57:25,50.044,Normal
2026-06-18T08:57:26Z,2026-06-18T08:57:26-04:00,18/06/2026,08:57:26,50.038,Normal
2026-06-18T08:57:27Z,2026-06-18T08:57:27-04:00,18/06/2026,08:57:27,50.034,Normal
2026-06-18T08:57:28Z,2026-06-18T08:57:28-04:00,18/06/2026,08:57:28,50.033,Normal
2026-06-18T08:57:29Z,2026-06-18T08:57:29-04:00,18/06/2026,08:57:29,50.034,Normal
2026-06-18T08:57:30Z,2026-06-18T08:57:30-04:00,18/06/2026,08:57:30,50.036,Normal
2026-06-18T08:57:31Z,2026-06-18T08:57:31-04:00,18/06/2026,08:57:31,50.038,Normal
2026-06-18T08:57:32Z,2026-06-18T08:57:32-04:00,18/06/2026,08:57:32,50.037,Normal
2026-06-18T08:57:33Z,2026-06-18T08:57:33-04:00,18/06/2026,08:57:33,50.036,Normal
2026-06-18T08:57:34Z,2026-06-18T08:57:34-04:00,18/06/2026,08:57:34,50.037,Normal
2026-06-18T08:57:35Z,2026-06-18T08:57:35-04:00,18/06/2026,08:57:35,50.036,Normal
2026-06-18T08:57:36Z,2026-06-18T08:57:36-04:00,18/06/2026,08:57:36,50.035,Normal
2026-06-18T08:57:37Z,2026-06-18T08:57:37-04:00,18/06/2026,08:57:37,50.034,Normal
2026-06-18T08:57:38Z,2026-06-18T08:57:38-04:00,18/06/2026,08:57:38,50.034,Normal
2026-06-18T08:57:39Z,2026-06-18T08:57:39-04:00,18/06/2026,08:57:39,50.035,Normal
2026-06-18T08:57:40Z,2026-06-18T08:57:40-04:00,18/06/2026,08:57:40,50.035,Normal
2026-06-18T08:57:41Z,2026-06-18T08:57:41-04:00,18/06/2026,08:57:41,50.03,Normal
2026-06-18T08:57:42Z,2026-06-18T08:57:42-04:00,18/06/2026,08:57:42,50.025,Normal
2026-06-18T08:57:43Z,2026-06-18T08:57:43-04:00,18/06/2026,08:57:43,50.02,Normal
2026-06-18T08:57:44Z,2026-06-18T08:57:44-04:00,18/06/2026,08:57:44,50.012,Normal
2026-06-18T08:57:45Z,2026-06-18T08:57:45-04:00,18/06/2026,08:57:45,49.998,Normal
2026-06-18T08:57:46Z,2026-06-18T08:57:46-04:00,18/06/2026,08:57:46,49.979,Normal
2026-06-18T08:57:47Z,2026-06-18T08:57:47-04:00,18/06/2026,08:57:47,49.958,Normal
2026-06-18T08:57:48Z,2026-06-18T08:57:48-04:00,18/06/2026,08:57:48,49.938,Normal
2026-06-18T08:57:49Z,2026-06-18T08:57:49-04:00,18/06/2026,08:57:49,49.92,Normal
2026-06-18T08:57:50Z,2026-06-18T08:57:50-04:00,18/06/2026,08:57:50,49.912,Normal
2026-06-18T08:57:51Z,2026-06-18T08:57:51-04:00,18/06/2026,08:57:51,49.91,Normal
2026-06-18T08:57:52Z,2026-06-18T08:57:52-04:00,18/06/2026,08:57:52,49.913,Normal
2026-06-18T08:57:53Z,2026-06-18T08:57:53-04:00,18/06/2026,08:57:53,49.92,Normal
2026-06-18T08:57:54Z,2026-06-18T08:57:54-04:00,18/06/2026,08:57:54,49.928,Normal
2026-06-18T08:57:55Z,2026-06-18T08:57:55-04:00,18/06/2026,08:57:55,49.936,Normal
2026-06-18T08:57:57Z,2026-06-18T08:57:57-04:00,18/06/2026,08:57:57,49.944,Normal
2026-06-18T08:57:58Z,2026-06-18T08:57:58-04:00,18/06/2026,08:57:58,49.947,Normal
2026-06-18T08:57:59Z,2026-06-18T08:57:59-04:00,18/06/2026,08:57:59,49.953,Normal
2026-06-18T08:58:00Z,2026-06-18T08:58:00-04:00,18/06/2026,08:58:00,49.959,Normal
2026-06-18T08:58:01Z,2026-06-18T08:58:01-04:00,18/06/2026,08:58:01,49.964,Normal
2026-06-18T08:58:02Z,2026-06-18T08:58:02-04:00,18/06/2026,08:58:02,49.968,Normal
2026-06-18T08:58:03Z,2026-06-18T08:58:03-04:00,18/06/2026,08:58:03,49.97,Normal
2026-06-18T08:58:04Z,2026-06-18T08:58:04-04:00,18/06/2026,08:58:04,49.969,Normal
2026-06-18T08:58:05Z,2026-06-18T08:58:05-04:00,18/06/2026,08:58:05,49.968,Normal
2026-06-18T08:58:06Z,2026-06-18T08:58:06-04:00,18/06/2026,08:58:06,49.968,Normal
2026-06-18T08:58:07Z,2026-06-18T08:58:07-04:00,18/06/2026,08:58:07,49.969,Normal
2026-06-18T08:58:08Z,2026-06-18T08:58:08-04:00,18/06/2026,08:58:08,49.97,Normal
2026-06-18T08:58:09Z,2026-06-18T08:58:09-04:00,18/06/2026,08:58:09,49.97,Normal
2026-06-18T08:58:10Z,2026-06-18T08:58:10-04:00,18/06/2026,08:58:10,49.971,Normal
2026-06-18T08:58:11Z,2026-06-18T08:58:11-04:00,18/06/2026,08:58:11,49.971,Normal
2026-06-18T08:58:12Z,2026-06-18T08:58:12-04:00,18/06/2026,08:58:12,49.97,Normal
2026-06-18T08:58:13Z,2026-06-18T08:58:13-04:00,18/06/2026,08:58:13,49.966,Normal
2026-06-18T08:58:14Z,2026-06-18T08:58:14-04:00,18/06/2026,08:58:14,49.959,Normal
2026-06-18T08:58:15Z,2026-06-18T08:58:15-04:00,18/06/2026,08:58:15,49.95,Normal
2026-06-18T08:58:16Z,2026-06-18T08:58:16-04:00,18/06/2026,08:58:16,49.94,Normal
2026-06-18T08:58:17Z,2026-06-18T08:58:17-04:00,18/06/2026,08:58:17,49.933,Normal
2026-06-18T08:58:18Z,2026-06-18T08:58:18-04:00,18/06/2026,08:58:18,49.929,Normal
2026-06-18T08:58:19Z,2026-06-18T08:58:19-04:00,18/06/2026,08:58:19,49.927,Normal
2026-06-18T08:58:20Z,2026-06-18T08:58:20-04:00,18/06/2026,08:58:20,49.924,Normal
2026-06-18T08:58:21Z,2026-06-18T08:58:21-04:00,18/06/2026,08:58:21,49.923,Normal
2026-06-18T08:58:22Z,2026-06-18T08:58:22-04:00,18/06/2026,08:58:22,49.924,Normal
2026-06-18T08:58:23Z,2026-06-18T08:58:23-04:00,18/06/2026,08:58:23,49.927,Normal
2026-06-18T08:58:24Z,2026-06-18T08:58:24-04:00,18/06/2026,08:58:24,49.932,Normal
2026-06-18T08:58:25Z,2026-06-18T08:58:25-04:00,18/06/2026,08:58:25,49.934,Normal
2026-06-18T08:58:26Z,2026-06-18T08:58:26-04:00,18/06/2026,08:58:26,49.936,Normal
2026-06-18T08:58:27Z,2026-06-18T08:58:27-04:00,18/06/2026,08:58:27,49.939,Normal
2026-06-18T08:58:28Z,2026-06-18T08:58:28-04:00,18/06/2026,08:58:28,49.941,Normal
2026-06-18T08:58:29Z,2026-06-18T08:58:29-04:00,18/06/2026,08:58:29,49.945,Normal
2026-06-18T08:58:30Z,2026-06-18T08:58:30-04:00,18/06/2026,08:58:30,49.949,Normal
2026-06-18T08:58:31Z,2026-06-18T08:58:31-04:00,18/06/2026,08:58:31,49.954,Normal
2026-06-18T08:58:32Z,2026-06-18T08:58:32-04:00,18/06/2026,08:58:32,49.959,Normal
2026-06-18T08:58:33Z,2026-06-18T08:58:33-04:00,18/06/2026,08:58:33,49.965,Normal
2026-06-18T08:58:34Z,2026-06-18T08:58:34-04:00,18/06/2026,08:58:34,49.973,Normal
2026-06-18T08:58:35Z,2026-06-18T08:58:35-04:00,18/06/2026,08:58:35,49.983,Normal
2026-06-18T08:58:36Z,2026-06-18T08:58:36-04:00,18/06/2026,08:58:36,49.992,Normal
2026-06-18T08:58:37Z,2026-06-18T08:58:37-04:00,18/06/2026,08:58:37,50.001,Normal
2026-06-18T08:58:38Z,2026-06-18T08:58:38-04:00,18/06/2026,08:58:38,50.008,Normal
2026-06-18T08:58:39Z,2026-06-18T08:58:39-04:00,18/06/2026,08:58:39,50.017,Normal
2026-06-18T08:58:40Z,2026-06-18T08:58:40-04:00,18/06/2026,08:58:40,50.027,Normal
2026-06-18T08:58:41Z,2026-06-18T08:58:41-04:00,18/06/2026,08:58:41,50.035,Normal
2026-06-18T08:58:42Z,2026-06-18T08:58:42-04:00,18/06/2026,08:58:42,50.042,Normal
2026-06-18T08:58:43Z,2026-06-18T08:58:43-04:00,18/06/2026,08:58:43,50.048,Normal
2026-06-18T08:58:44Z,2026-06-18T08:58:44-04:00,18/06/2026,08:58:44,50.052,Normal
2026-06-18T08:58:45Z,2026-06-18T08:58:45-04:00,18/06/2026,08:58:45,50.053,Normal
2026-06-18T08:58:46Z,2026-06-18T08:58:46-04:00,18/06/2026,08:58:46,50.053,Normal
2026-06-18T08:58:47Z,2026-06-18T08:58:47-04:00,18/06/2026,08:58:47,50.052,Normal
2026-06-18T08:58:48Z,2026-06-18T08:58:48-04:00,18/06/2026,08:58:48,50.051,Normal
2026-06-18T08:58:49Z,2026-06-18T08:58:49-04:00,18/06/2026,08:58:49,50.05,Normal
2026-06-18T08:58:50Z,2026-06-18T08:58:50-04:00,18/06/2026,08:58:50,50.052,Normal
2026-06-18T08:58:51Z,2026-06-18T08:58:51-04:00,18/06/2026,08:58:51,50.054,Normal
2026-06-18T08:58:52Z,2026-06-18T08:58:52-04:00,18/06/2026,08:58:52,50.056,Normal
2026-06-18T08:58:53Z,2026-06-18T08:58:53-04:00,18/06/2026,08:58:53,50.053,Normal
2026-06-18T08:58:54Z,2026-06-18T08:58:54-04:00,18/06/2026,08:58:54,50.047,Normal
2026-06-18T08:58:55Z,2026-06-18T08:58:55-04:00,18/06/2026,08:58:55,50.043,Normal
2026-06-18T08:58:56Z,2026-06-18T08:58:56-04:00,18/06/2026,08:58:56,50.039,Normal
2026-06-18T08:58:58Z,2026-06-18T08:58:58-04:00,18/06/2026,08:58:58,50.04,Normal
2026-06-18T08:58:59Z,2026-06-18T08:58:59-04:00,18/06/2026,08:58:59,50.043,Normal
2026-06-18T08:59:00Z,2026-06-18T08:59:00-04:00,18/06/2026,08:59:00,50.046,Normal
2026-06-18T08:59:01Z,2026-06-18T08:59:01-04:00,18/06/2026,08:59:01,50.047,Normal
2026-06-18T08:59:02Z,2026-06-18T08:59:02-04:00,18/06/2026,08:59:02,50.046,Normal
2026-06-18T08:59:03Z,2026-06-18T08:59:03-04:00,18/06/2026,08:59:03,50.043,Normal
2026-06-18T08:59:04Z,2026-06-18T08:59:04-04:00,18/06/2026,08:59:04,50.037,Normal
2026-06-18T08:59:05Z,2026-06-18T08:59:05-04:00,18/06/2026,08:59:05,50.031,Normal
2026-06-18T08:59:06Z,2026-06-18T08:59:06-04:00,18/06/2026,08:59:06,50.025,Normal
2026-06-18T08:59:07Z,2026-06-18T08:59:07-04:00,18/06/2026,08:59:07,50.025,Normal
2026-06-18T08:59:08Z,2026-06-18T08:59:08-04:00,18/06/2026,08:59:08,50.029,Normal
2026-06-18T08:59:09Z,2026-06-18T08:59:09-04:00,18/06/2026,08:59:09,50.034,Normal
2026-06-18T08:59:10Z,2026-06-18T08:59:10-04:00,18/06/2026,08:59:10,50.039,Normal
2026-06-18T08:59:11Z,2026-06-18T08:59:11-04:00,18/06/2026,08:59:11,50.042,Normal
2026-06-18T08:59:12Z,2026-06-18T08:59:12-04:00,18/06/2026,08:59:12,50.044,Normal
2026-06-18T08:59:13Z,2026-06-18T08:59:13-04:00,18/06/2026,08:59:13,50.048,Normal
2026-06-18T08:59:14Z,2026-06-18T08:59:14-04:00,18/06/2026,08:59:14,50.053,Normal
2026-06-18T08:59:15Z,2026-06-18T08:59:15-04:00,18/06/2026,08:59:15,50.058,Normal
2026-06-18T08:59:16Z,2026-06-18T08:59:16-04:00,18/06/2026,08:59:16,50.063,Normal
2026-06-18T08:59:17Z,2026-06-18T08:59:17-04:00,18/06/2026,08:59:17,50.065,Normal
2026-06-18T08:59:18Z,2026-06-18T08:59:18-04:00,18/06/2026,08:59:18,50.062,Normal
2026-06-18T08:59:19Z,2026-06-18T08:59:19-04:00,18/06/2026,08:59:19,50.059,Normal
2026-06-18T08:59:20Z,2026-06-18T08:59:20-04:00,18/06/2026,08:59:20,50.054,Normal
2026-06-18T08:59:21Z,2026-06-18T08:59:21-04:00,18/06/2026,08:59:21,50.051,Normal
2026-06-18T08:59:22Z,2026-06-18T08:59:22-04:00,18/06/2026,08:59:22,50.051,Normal
2026-06-18T08:59:23Z,2026-06-18T08:59:23-04:00,18/06/2026,08:59:23,50.053,Normal
2026-06-18T08:59:24Z,2026-06-18T08:59:24-04:00,18/06/2026,08:59:24,50.057,Normal
2026-06-18T08:59:25Z,2026-06-18T08:59:25-04:00,18/06/2026,08:59:25,50.062,Normal
2026-06-18T08:59:26Z,2026-06-18T08:59:26-04:00,18/06/2026,08:59:26,50.069,Normal
2026-06-18T08:59:27Z,2026-06-18T08:59:27-04:00,18/06/2026,08:59:27,50.073,Normal
2026-06-18T08:59:28Z,2026-06-18T08:59:28-04:00,18/06/2026,08:59:28,50.073,Normal
2026-06-18T08:59:29Z,2026-06-18T08:59:29-04:00,18/06/2026,08:59:29,50.072,Normal
2026-06-18T08:59:30Z,2026-06-18T08:59:30-04:00,18/06/2026,08:59:30,50.072,Normal
2026-06-18T08:59:31Z,2026-06-18T08:59:31-04:00,18/06/2026,08:59:31,50.072,Normal
2026-06-18T08:59:32Z,2026-06-18T08:59:32-04:00,18/06/2026,08:59:32,50.073,Normal
2026-06-18T08:59:33Z,2026-06-18T08:59:33-04:00,18/06/2026,08:59:33,50.073,Normal
2026-06-18T08:59:34Z,2026-06-18T08:59:34-04:00,18/06/2026,08:59:34,50.072,Normal
2026-06-18T08:59:35Z,2026-06-18T08:59:35-04:00,18/06/2026,08:59:35,50.068,Normal
2026-06-18T08:59:36Z,2026-06-18T08:59:36-04:00,18/06/2026,08:59:36,50.063,Normal
2026-06-18T08:59:37Z,2026-06-18T08:59:37-04:00,18/06/2026,08:59:37,50.059,Normal
2026-06-18T08:59:38Z,2026-06-18T08:59:38-04:00,18/06/2026,08:59:38,50.056,Normal
2026-06-18T08:59:39Z,2026-06-18T08:59:39-04:00,18/06/2026,08:59:39,50.055,Normal
2026-06-18T08:59:40Z,2026-06-18T08:59:40-04:00,18/06/2026,08:59:40,50.053,Normal
